round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,52.0MB,17.0MB,73.29%,19.52%,1.3GB,8.6MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.4MB,20.4MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,27.5MB,27.3MB,0.70%,0.11%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.7MB,46.7MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,30.1MB,25.7MB,50.39%,28.08%,70.2MB,35.3MB,0B,0B
round0,Docker,sawtooth-rest-api-2,27.9MB,27.2MB,0.47%,0.12%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,32.1MB,26.2MB,53.81%,34.03%,85.9MB,44.0MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.7MB,20.7MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,103.9MB,53.3MB,96.53%,23.58%,785.0MB,1.3GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.8MB,20.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,30.2MB,25.7MB,52.38%,28.55%,71.9MB,36.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-3,27.7MB,27.0MB,0.41%,0.12%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,31.6MB,26.1MB,51.62%,32.70%,83.9MB,42.8MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-validator-2,516.0MB,353.7MB,109.71%,82.46%,83.4MB,97.6MB,0B,0B
round0,Docker,sawtooth-validator-1,517.3MB,364.1MB,101.43%,67.45%,75.9MB,80.7MB,0B,0B
round0,Docker,sawtooth-validator-3,510.9MB,357.7MB,103.76%,79.22%,78.8MB,99.0MB,0B,0B
round0,Docker,sawtooth-validator-0,591.6MB,401.5MB,108.55%,87.66%,81.3MB,946.8MB,0B,0B
